class_label,precision,recall,f1,support
体育,0.9620123203285421,0.937,0.9493414387031408,1000
娱乐,0.9418254764292878,0.939,0.9404106159238859,1000
家居,0.5957962813257882,0.737,0.6589181940098346,1000
房产,0.9718026183282981,0.965,0.9683893627696939,1000
教育,0.7170191339375629,0.712,0.7145007526342197,1000
时尚,0.7571428571428571,0.795,0.775609756097561,1000
时政,0.7622377622377622,0.763,0.7626186906546727,1000
游戏,0.9224890829694323,0.845,0.8820459290187892,1000
科技,0.9066820276497696,0.787,0.8426124197002142,1000
财经,0.7816683831101957,0.759,0.7701674277016742,1000
