true_label,predicted_label,error_count,share_of_total_errors
家居,时尚,163,0.0925610448608745
时尚,家居,117,0.06643952299829642
时政,家居,108,0.06132879045996593
游戏,家居,75,0.04258943781942078
财经,时政,67,0.0380465644520159
教育,家居,65,0.03691084611016468
教育,财经,61,0.034639409426462237
教育,时政,57,0.03236797274275979
科技,教育,55,0.031232254400908575
财经,教育,55,0.031232254400908575
科技,家居,52,0.029528676888131742
财经,家居,50,0.028392958546280524
教育,时尚,48,0.027257240204429302
时政,财经,46,0.02612152186257808
科技,时政,44,0.02498580352072686
时政,教育,42,0.02385008517887564
时尚,教育,40,0.022714366837024418
家居,教育,36,0.020442930153321975
游戏,教育,28,0.01590005678591709
科技,财经,28,0.01590005678591709
教育,科技,25,0.014196479273140262
娱乐,时政,18,0.010221465076660987
家居,时政,18,0.010221465076660987
教育,游戏,18,0.010221465076660987
财经,科技,18,0.010221465076660987
体育,家居,17,0.009653605905735378
家居,财经,17,0.009653605905735378
房产,财经,16,0.009085746734809767
时尚,娱乐,16,0.009085746734809767
体育,教育,13,0.0073821692220329355
游戏,财经,13,0.0073821692220329355
财经,房产,13,0.0073821692220329355
体育,时政,12,0.0068143100511073255
体育,财经,12,0.0068143100511073255
财经,游戏,11,0.006246450880181715
娱乐,教育,10,0.0056785917092561046
时尚,财经,10,0.0056785917092561046
时政,科技,10,0.0056785917092561046
游戏,时尚,10,0.0056785917092561046
游戏,时政,10,0.0056785917092561046
科技,时尚,10,0.0056785917092561046
财经,时尚,10,0.0056785917092561046
娱乐,家居,9,0.005110732538330494
娱乐,财经,9,0.005110732538330494
家居,游戏,9,0.005110732538330494
家居,科技,9,0.005110732538330494
财经,体育,9,0.005110732538330494
教育,体育,8,0.004542873367404884
时尚,游戏,8,0.004542873367404884
时政,游戏,8,0.004542873367404884
游戏,科技,8,0.004542873367404884
科技,娱乐,8,0.004542873367404884
科技,游戏,8,0.004542873367404884
财经,娱乐,8,0.004542873367404884
娱乐,时尚,7,0.003975014196479273
房产,家居,7,0.003975014196479273
房产,时政,7,0.003975014196479273
时尚,科技,7,0.003975014196479273
时政,房产,7,0.003975014196479273
教育,娱乐,6,0.0034071550255536627
时政,娱乐,6,0.0034071550255536627
时政,时尚,6,0.0034071550255536627
游戏,娱乐,6,0.0034071550255536627
科技,体育,6,0.0034071550255536627
家居,娱乐,5,0.0028392958546280523
时尚,时政,5,0.0028392958546280523
体育,游戏,4,0.002271436683702442
娱乐,游戏,4,0.002271436683702442
时政,体育,4,0.002271436683702442
家居,体育,3,0.0017035775127768314
家居,房产,3,0.0017035775127768314
游戏,体育,3,0.0017035775127768314
体育,娱乐,2,0.001135718341851221
娱乐,体育,2,0.001135718341851221
娱乐,科技,2,0.001135718341851221
房产,教育,2,0.001135718341851221
时尚,体育,2,0.001135718341851221
游戏,房产,2,0.001135718341851221
科技,房产,2,0.001135718341851221
体育,房产,1,0.0005678591709256105
体育,时尚,1,0.0005678591709256105
体育,科技,1,0.0005678591709256105
房产,娱乐,1,0.0005678591709256105
房产,游戏,1,0.0005678591709256105
房产,科技,1,0.0005678591709256105
