model,bin_lower,bin_upper,sample_count,mean_confidence,empirical_accuracy,calibration_gap
TF-IDF + Linear SVM + sigmoid calibration,0.0,0.1,0,nan,nan,nan
TF-IDF + Linear SVM + sigmoid calibration,0.1,0.2,3,0.18800378547860883,0.0,0.18800378547860883
TF-IDF + Linear SVM + sigmoid calibration,0.2,0.3,179,0.2677292463389837,0.2346368715083799,0.033092374830603816
TF-IDF + Linear SVM + sigmoid calibration,0.3,0.4,433,0.3562816889332258,0.3579676674364896,0.0016859785032637964
TF-IDF + Linear SVM + sigmoid calibration,0.4,0.5,570,0.45104343781981815,0.45263157894736844,0.001588141127550291
TF-IDF + Linear SVM + sigmoid calibration,0.5,0.6,615,0.5486920897298693,0.5528455284552846,0.004153438725415293
TF-IDF + Linear SVM + sigmoid calibration,0.6,0.7,1746,0.6735933705865214,0.6775486827033219,0.003955312116800558
TF-IDF + Linear SVM + sigmoid calibration,0.7,0.8,808,0.7554796659292621,0.8601485148514851,0.10466884892222306
TF-IDF + Linear SVM + sigmoid calibration,0.8,0.9,2085,0.860928964816181,0.9793764988009592,0.11844753398477825
TF-IDF + Linear SVM + sigmoid calibration,0.9,1.0,3561,0.9451582547128043,0.995787700084246,0.05062944537144165
TF-IDF + Logistic Regression probability baseline,0.0,0.1,0,nan,nan,nan
TF-IDF + Logistic Regression probability baseline,0.1,0.2,140,0.1821782543910552,0.2,0.01782174560894481
TF-IDF + Logistic Regression probability baseline,0.2,0.3,1000,0.252742452731695,0.387,0.13425754726830502
TF-IDF + Logistic Regression probability baseline,0.3,0.4,1860,0.33337002367801893,0.6311827956989248,0.29781277202090584
TF-IDF + Logistic Regression probability baseline,0.4,0.5,1041,0.45006588846897416,0.8155619596541787,0.3654960711852045
TF-IDF + Logistic Regression probability baseline,0.5,0.6,1013,0.5524336816963757,0.9131293188548865,0.3606956371585107
TF-IDF + Logistic Regression probability baseline,0.6,0.7,1732,0.6487956931846715,0.8978060046189377,0.24901031143426622
TF-IDF + Logistic Regression probability baseline,0.7,0.8,1788,0.7508093922466911,0.9927293064876958,0.24191991424100467
TF-IDF + Logistic Regression probability baseline,0.8,0.9,1090,0.8435045777667326,0.9954128440366973,0.15190826626996468
TF-IDF + Logistic Regression probability baseline,0.9,1.0,336,0.9343291348947812,0.9970238095238095,0.06269467462902834
