strategy,budget_percent,reviewed_count,captured_error_count,share_of_all_errors_captured,errors_found_per_100_reviewed,total_errors
raw_svm_margin,5.0,500,327,0.18568994889267462,65.4,1761
raw_svm_margin,10.0,1000,629,0.35718341851220897,62.9,1761
raw_svm_margin,20.0,2000,1058,0.6007950028392959,52.900000000000006,1761
raw_svm_margin,30.0,3000,1372,0.7791027825099376,45.733333333333334,1761
calibrated_top_label_confidence,5.0,500,359,0.20386144236229414,71.8,1761
calibrated_top_label_confidence,10.0,1000,651,0.3696763202725724,65.10000000000001,1761
calibrated_top_label_confidence,20.0,2000,1083,0.6149914821124361,54.15,1761
calibrated_top_label_confidence,30.0,3000,1385,0.7864849517319704,46.166666666666664,1761
random_expected,5.0,500,88.05,0.049999999999999996,17.61,1761
random_expected,10.0,1000,176.1,0.09999999999999999,17.61,1761
random_expected,20.0,2000,352.2,0.19999999999999998,17.61,1761
random_expected,30.0,3000,528.3,0.3,17.61,1761
